j,s,average_absolute_error,errors
1,10,7.120800000000001,"[7.4808, 7.4808, 6.580800000000002, 7.4808, 6.580800000000002]"
1,200,6.8957999999999995,"[6.940799999999999, 6.940799999999999, 6.6258, 7.030799999999999, 6.940799999999999]"
1,400,6.8193,"[6.9633, 6.940799999999999, 6.8283000000000005, 6.8283000000000005, 6.5358]"
1,600,6.844799999999999,"[6.8208, 6.790800000000001, 6.8658, 6.8658, 6.880799999999999]"
1,800,6.82155,"[6.940799999999999, 6.77205, 6.7608000000000015, 6.839550000000001, 6.794549999999999]"
1,1000,6.832800000000001,"[6.8238, 6.751800000000001, 6.805800000000001, 6.850800000000001, 6.931799999999999]"
6,10,1.3608,"[0.2808000000000004, -0.6191999999999998, 1.1807999999999998, 2.9808000000000003, 2.9808000000000003]"
6,200,0.9468000000000003,"[1.4958000000000007, 0.8658000000000003, 0.7758, 0.4608000000000001, 1.1358000000000004]"
6,400,0.8343000000000005,"[1.0683, 0.9108000000000003, 0.7758, 0.8433000000000004, 0.5733000000000004]"
6,600,1.0668,"[0.7908000000000002, 1.1058000000000001, 1.0008000000000006, 1.0757999999999999, 1.3608]"
6,800,1.0615500000000002,"[1.32705, 0.9445500000000002, 0.9670500000000002, 1.0907999999999995, 0.9783000000000002]"
6,1000,0.9324000000000001,"[1.0187999999999995, 0.8568000000000005, 0.8658000000000003, 0.8748000000000002, 1.0458]"
11,10,1.0008000000000006,"[1.1807999999999998, 0.2808000000000004, 0.2808000000000004, 2.080800000000001, 1.1807999999999998]"
11,200,0.5058000000000005,"[0.5508000000000004, 0.41580000000000017, 0.5957999999999999, 0.5957999999999999, 0.37080000000000024]"
11,400,0.49229999999999996,"[0.6633000000000002, 0.7533000000000001, 0.3933, 0.43830000000000013, 0.21330000000000005]"
11,600,0.47280000000000033,"[0.22079999999999989, 0.6557999999999999, 0.5658000000000001, 0.6557999999999999, 0.26580000000000004]"
11,800,0.4315500000000001,"[0.34829999999999983, 0.22455000000000025, 0.43830000000000013, 0.49455000000000005, 0.6520500000000002]"
11,1000,0.42300000000000026,"[0.31679999999999997, 0.6948000000000001, 0.42480000000000007, 0.31679999999999997, 0.3618000000000001]"
16,10,0.8208,"[1.1807999999999998, 1.1807999999999998, 0.2808000000000004, 0.2808000000000004, 1.1807999999999998]"
16,200,0.35280000000000045,"[0.010800000000000143, 0.5058000000000005, 0.6408000000000003, -0.03420000000000001, 0.6408000000000003]"
16,400,0.4293,"[0.48330000000000006, 0.5058000000000005, 0.3258000000000001, 0.34829999999999983, 0.48330000000000006]"
16,600,0.27780000000000027,"[0.37080000000000024, 0.2808000000000004, 0.05579999999999985, 0.4308000000000003, 0.25080000000000013]"
16,800,0.2852999999999999,"[0.51705, 0.33704999999999985, 0.14579999999999993, 0.30330000000000035, 0.12330000000000019]"
16,1000,0.3348,"[0.3618000000000001, 0.3078000000000001, 0.16379999999999995, 0.39780000000000015, 0.4428000000000003]"
21,10,0.4608000000000001,"[-0.6191999999999998, 2.080800000000001, 0.2808000000000004, 1.1807999999999998, -0.6191999999999998]"
21,200,0.06120000000000014,"[0.37080000000000024, -0.03420000000000001, -0.03420000000000001, -0.3941999999999999, -0.21420000000000017]"
21,400,0.28080000000000016,"[0.37080000000000024, 0.1908000000000003, 0.3933, 0.16830000000000012, 0.2808000000000004]"
21,600,0.37380000000000013,"[0.26580000000000004, 0.5957999999999999, 0.38580000000000014, 0.37080000000000024, 0.25080000000000013]"
21,800,0.22229999999999994,"[0.21330000000000005, 0.22455000000000025, 0.3258000000000001, 0.34829999999999983, -0.00044999999999961737]"
21,1000,0.24660000000000015,"[0.13680000000000025, 0.26280000000000037, 0.09179999999999988, 0.4338000000000002, 0.3078000000000001]"
26,10,0.10080000000000044,"[0.2808000000000004, -0.6191999999999998, 0.2808000000000004, 0.2808000000000004, 0.2808000000000004]"
26,200,0.13680000000000003,"[0.37080000000000024, -0.07919999999999994, -0.07919999999999994, 0.4608000000000001, 0.010800000000000143]"
26,400,0.11880000000000002,"[0.2808000000000004, 0.14579999999999993, 0.10080000000000022, -0.1016999999999999, 0.16830000000000012]"
26,600,0.15180000000000016,"[0.41580000000000017, 0.0708000000000002, 0.14579999999999993, -0.04919999999999991, 0.17579999999999996]"
26,800,0.16605000000000003,"[0.15705000000000013, 0.29205000000000014, 0.033299999999999885, 0.13455000000000017, 0.21330000000000005]"
26,1000,0.15660000000000007,"[0.27180000000000004, 0.13680000000000025, 0.13680000000000025, 0.019800000000000262, 0.2178]"
31,10,0.10080000000000044,"[-0.6191999999999998, 1.1807999999999998, 0.2808000000000004, 0.2808000000000004, -0.6191999999999998]"
31,200,0.1908000000000003,"[0.6408000000000003, 0.1908000000000003, 0.14579999999999993, 0.010800000000000143, -0.03420000000000001]"
31,400,0.19530000000000003,"[0.10080000000000022, 0.16830000000000012, 0.21330000000000005, 0.2808000000000004, 0.21330000000000005]"
31,600,0.13680000000000003,"[0.16080000000000028, 0.13080000000000003, 0.14579999999999993, 0.13080000000000003, 0.11580000000000035]"
31,800,0.08055000000000012,"[0.10080000000000022, -0.0116999999999996, -0.09044999999999992, 0.14579999999999993, 0.2583000000000002]"
31,1000,0.1494000000000002,"[0.10080000000000022, 0.2358, -0.007199999999999873, 0.16379999999999995, 0.2538]"
36,10,0.6407999999999998,"[-1.5191999999999999, 1.1807999999999998, 1.1807999999999998, 1.1807999999999998, 1.1807999999999998]"
36,200,0.1728000000000003,"[0.05579999999999985, 0.2358, 0.41580000000000017, -0.03420000000000001, 0.1908000000000003]"
36,400,0.06930000000000036,"[0.16830000000000012, -0.1016999999999999, 0.1908000000000003, -0.05669999999999975, 0.14579999999999993]"
36,600,0.1277999999999999,"[0.26580000000000004, 0.2058000000000002, 0.13080000000000003, 0.13080000000000003, -0.09420000000000006]"
36,800,0.09855000000000036,"[-0.022949999999999804, 0.06704999999999983, 0.13455000000000017, 0.1908000000000003, 0.12330000000000019]"
36,1000,0.16559999999999997,"[0.18179999999999996, 0.28980000000000006, 0.16379999999999995, 0.010800000000000143, 0.18179999999999996]"
41,10,0.1008,"[-0.6191999999999998, 1.1807999999999998, -0.6191999999999998, -0.6191999999999998, 1.1807999999999998]"
41,200,0.037800000000000056,"[0.1908000000000003, 0.010800000000000143, 0.2808000000000004, 0.05579999999999985, -0.34919999999999995]"
41,400,0.006300000000000194,"[-0.3041999999999998, 0.1908000000000003, 0.07830000000000004, -0.0116999999999996, 0.07830000000000004]"
41,600,0.10980000000000012,"[-0.0041999999999997595, 0.25080000000000013, 0.14579999999999993, 0.010800000000000143, 0.14579999999999993]"
41,800,0.13680000000000003,"[0.06704999999999983, 0.16830000000000012, 0.15705000000000013, 0.1908000000000003, 0.10080000000000022]"
41,1000,0.05940000000000034,"[-0.08819999999999983, 0.1097999999999999, 0.0828000000000002, 0.05579999999999985, 0.13680000000000025]"
46,10,0.4391999999999998,"[-1.5191999999999999, -0.6191999999999998, -0.6191999999999998, 0.2808000000000004, 0.2808000000000004]"
46,200,0.06480000000000019,"[0.4608000000000001, 0.010800000000000143, 0.10080000000000022, 0.14579999999999993, -0.3941999999999999]"
46,400,0.08279999999999976,"[0.010800000000000143, 0.48330000000000006, 0.033299999999999885, 0.10080000000000022, -0.21420000000000017]"
46,600,0.11880000000000002,"[0.2058000000000002, 0.29580000000000006, -0.21420000000000017, 0.37080000000000024, -0.06419999999999981]"
46,800,0.1728000000000003,"[0.2695500000000004, 0.24705, 0.12330000000000019, 0.10080000000000022, 0.12330000000000019]"
46,1000,0.06119999999999992,"[0.019800000000000262, 0.07379999999999987, 0.05579999999999985, 0.07379999999999987, 0.0828000000000002]"
51,10,0.10080000000000044,"[0.2808000000000004, -1.5191999999999999, -0.6191999999999998, 0.2808000000000004, 2.080800000000001]"
51,200,0.01079999999999992,"[-0.34919999999999995, 0.05579999999999985, -0.03420000000000001, 0.1908000000000003, 0.1908000000000003]"
51,400,0.09630000000000027,"[0.12330000000000019, 0.14579999999999993, 0.2808000000000004, -0.25919999999999965, 0.1908000000000003]"
51,600,0.046800000000000175,"[-0.04919999999999991, -0.04919999999999991, -0.0041999999999997595, 0.14579999999999993, 0.1908000000000003]"
51,800,0.11880000000000002,"[0.10080000000000022, 0.2358, -0.03420000000000001, 0.24705, 0.04455000000000009]"
51,1000,0.15300000000000025,"[-0.043199999999999905, 0.22680000000000033, 0.24480000000000035, 0.11880000000000024, 0.2178]"
56,10,0.2808000000000004,"[0.2808000000000004, 1.1807999999999998, -0.6191999999999998, 0.2808000000000004, 0.2808000000000004]"
56,200,0.16379999999999995,"[0.3258000000000001, 0.05579999999999985, 0.4608000000000001, -0.07919999999999994, 0.05579999999999985]"
56,400,0.0918000000000001,"[0.14579999999999993, -0.16920000000000002, 0.2808000000000004, -0.07919999999999994, 0.2808000000000004]"
56,600,0.0041999999999999815,"[0.025800000000000045, -0.1841999999999997, -0.019199999999999884, -0.1392, 0.29580000000000006]"
56,800,0.027449999999999752,"[-0.20294999999999996, -0.13544999999999985, 0.20205000000000006, -0.03420000000000001, 0.033299999999999885]"
56,1000,0.057599999999999874,"[0.22680000000000033, 0.05579999999999985, -0.17820000000000014, 0.06480000000000019, 0.11880000000000024]"
61,10,0.4391999999999998,"[-0.6191999999999998, -1.5191999999999999, -0.6191999999999998, -1.5191999999999999, 2.080800000000001]"
61,200,0.27180000000000004,"[0.14579999999999993, -0.07919999999999994, 0.6858000000000002, 0.2808000000000004, 0.3258000000000001]"
61,400,0.07380000000000031,"[0.010800000000000143, 0.12330000000000019, -0.05669999999999975, -0.05669999999999975, 0.34829999999999983]"
61,600,0.13380000000000014,"[0.0708000000000002, 0.025800000000000045, 0.26580000000000004, 0.2058000000000002, 0.10080000000000022]"
61,800,0.05805000000000016,"[0.1908000000000003, 0.1908000000000003, 0.04455000000000009, -0.1016999999999999, -0.03420000000000001]"
61,1000,0.05580000000000007,"[0.1277999999999999, 0.019800000000000262, 0.046800000000000175, -0.03420000000000001, 0.11880000000000024]"
66,10,0.10080000000000044,"[-0.6191999999999998, -0.6191999999999998, 0.2808000000000004, 1.1807999999999998, 0.2808000000000004]"
66,200,0.05580000000000007,"[-0.12419999999999987, -0.25919999999999965, 0.37080000000000024, 0.4608000000000001, -0.16920000000000002]"
66,400,0.1503000000000001,"[0.30330000000000035, 0.21330000000000005, 0.30330000000000035, 0.10080000000000022, -0.16920000000000002]"
66,600,0.1998000000000002,"[0.5358000000000003, -0.09420000000000006, 0.0858000000000001, 0.29580000000000006, 0.17579999999999996]"
66,800,0.02880000000000016,"[0.08955000000000024, -0.00044999999999961737, -0.09044999999999992, 0.05579999999999985, 0.08955000000000024]"
66,1000,0.027000000000000357,"[0.10080000000000022, -0.07020000000000004, -0.06119999999999992, 0.22680000000000033, -0.06119999999999992]"
71,10,0.6408000000000003,"[1.1807999999999998, 0.2808000000000004, 0.2808000000000004, -1.5191999999999999, 2.9808000000000003]"
71,200,0.037800000000000056,"[0.2808000000000004, -0.25919999999999965, -0.12419999999999987, 0.3258000000000001, -0.03420000000000001]"
71,400,0.0512999999999999,"[0.16830000000000012, 0.033299999999999885, -0.1016999999999999, -0.1016999999999999, 0.2583000000000002]"
71,600,0.07979999999999987,"[0.17579999999999996, 0.04080000000000017, 0.1908000000000003, 0.0708000000000002, -0.07919999999999994]"
71,800,0.009449999999999958,"[-0.13544999999999985, 0.022050000000000347, 0.022050000000000347, -0.04544999999999977, 0.08955000000000024]"
71,1000,0.0593999999999999,"[0.019800000000000262, 0.1277999999999999, 0.1277999999999999, -0.03420000000000001, 0.05579999999999985]"
76,10,1.0008000000000006,"[-0.6191999999999998, 2.080800000000001, 2.080800000000001, 0.2808000000000004, 1.1807999999999998]"
76,200,0.09719999999999995,"[-0.03420000000000001, -0.07919999999999994, -0.07919999999999994, -0.21420000000000017, -0.07919999999999994]"
76,400,0.07830000000000004,"[0.07830000000000004, 0.14579999999999993, 0.033299999999999885, 0.033299999999999885, 0.10080000000000022]"
76,600,0.09480000000000022,"[-0.03420000000000001, 0.10080000000000022, -0.019199999999999884, 0.05579999999999985, 0.37080000000000024]"
76,800,0.04004999999999992,"[0.07830000000000004, -0.0116999999999996, -0.07919999999999994, 0.05579999999999985, 0.15705000000000013]"
76,1000,0.10080000000000044,"[0.24480000000000035, 0.1277999999999999, 0.09179999999999988, -0.0521999999999998, 0.09179999999999988]"
81,10,0.25919999999999965,"[-0.6191999999999998, -0.6191999999999998, -0.6191999999999998, 0.2808000000000004, 0.2808000000000004]"
81,200,0.046800000000000175,"[0.37080000000000024, -0.03420000000000001, -0.16920000000000002, 0.10080000000000022, -0.03420000000000001]"
81,400,0.06480000000000019,"[-0.1016999999999999, 0.033299999999999885, 0.14579999999999993, 0.10080000000000022, 0.14579999999999993]"
81,600,0.10980000000000034,"[0.26580000000000004, -0.04919999999999991, 0.25080000000000013, 0.13080000000000003, -0.04919999999999991]"
81,800,0.026550000000000074,"[0.05579999999999985, 0.08955000000000024, -0.04544999999999977, 0.010800000000000143, 0.022050000000000347]"
81,1000,0.0035999999999998256,"[0.05579999999999985, 0.19979999999999998, -0.24120000000000008, 0.06480000000000019, -0.06119999999999992]"
86,10,0.6408000000000003,"[0.2808000000000004, 0.2808000000000004, 2.080800000000001, 1.1807999999999998, -0.6191999999999998]"
86,200,0.05580000000000007,"[-0.07919999999999994, -0.12419999999999987, 0.1908000000000003, 0.10080000000000022, 0.1908000000000003]"
86,400,0.06030000000000002,"[-0.12419999999999987, 0.10080000000000022, 0.10080000000000022, -0.0116999999999996, 0.2358]"
86,600,0.019800000000000262,"[0.04080000000000017, 0.0708000000000002, 0.0858000000000001, -0.12419999999999987, 0.025800000000000045]"
86,800,0.08279999999999998,"[0.15705000000000013, 0.010800000000000143, 0.22455000000000025, -0.06794999999999995, 0.08955000000000024]"
86,1000,0.0017999999999998018,"[0.010800000000000143, -0.13319999999999999, -0.01619999999999977, -0.06119999999999992, 0.1908000000000003]"
91,10,0.7991999999999998,"[-0.6191999999999998, -1.5191999999999999, -0.6191999999999998, -0.6191999999999998, -0.6191999999999998]"
91,200,0.037800000000000056,"[0.010800000000000143, -0.16920000000000002, 0.2808000000000004, -0.03420000000000001, 0.10080000000000022]"
91,400,0.07469999999999977,"[-0.25919999999999965, -0.16920000000000002, 0.16830000000000012, 0.12330000000000019, -0.2366999999999999]"
91,600,0.013800000000000034,"[0.010800000000000143, 0.04080000000000017, 0.11580000000000035, -0.10919999999999974, 0.010800000000000143]"
91,800,0.037800000000000056,"[0.022050000000000347, -0.0116999999999996, 0.022050000000000347, 0.033299999999999885, 0.12330000000000019]"
91,1000,0.04499999999999971,"[-0.0521999999999998, 0.11880000000000024, -0.07020000000000004, -0.19619999999999993, -0.02519999999999989]"
96,10,0.10080000000000044,"[0.2808000000000004, -0.6191999999999998, 0.2808000000000004, 0.2808000000000004, 0.2808000000000004]"
96,200,0.025199999999999667,"[0.3258000000000001, -0.16920000000000002, -0.34919999999999995, 0.10080000000000022, -0.03420000000000001]"
96,400,0.02429999999999999,"[0.05579999999999985, -0.03420000000000001, 0.033299999999999885, -0.1016999999999999, 0.16830000000000012]"
96,600,0.11880000000000002,"[0.04080000000000017, 0.29580000000000006, -0.06419999999999981, 0.2058000000000002, 0.11580000000000035]"
96,800,0.0184500000000003,"[-0.21420000000000017, -0.022949999999999804, 0.033299999999999885, 0.05579999999999985, 0.05579999999999985]"
96,1000,0.03059999999999996,"[-0.0521999999999998, 0.07379999999999987, 0.14579999999999993, 0.11880000000000024, -0.13319999999999999]"
